x-axis,1,3;;x-axis;1.00000;3.00000
second,Volt,Volt;;second;Volt;Volt
-270.1000E-03,+30.6534E-03,+3.3075379E+00;;-0.27010;0.03065;3.30754
-270.0000E-03,+30.6534E-03,+3.3075379E+00;;-0.27000;0.03065;3.30754
-269.9000E-03,+30.6534E-03,+3.3075379E+00;;-0.26990;0.03065;3.30754
-269.8000E-03,+30.6534E-03,+3.3477389E+00;;-0.26980;0.03065;3.34774
-269.7000E-03,-9.5476E-03,+3.3075379E+00;;-0.26970;-0.00955;3.30754
-269.6000E-03,+30.6534E-03,+3.2271359E+00;;-0.26960;0.03065;3.22714
-269.5000E-03,+30.6534E-03,+3.2271359E+00;;-0.26950;0.03065;3.22714
-269.4000E-03,-9.5476E-03,+3.2673369E+00;;-0.26940;-0.00955;3.26734
-269.3000E-03,+30.6534E-03,+3.3075379E+00;;-0.26930;0.03065;3.30754
-269.2000E-03,+30.6534E-03,+3.2673369E+00;;-0.26920;0.03065;3.26734
-269.1000E-03,+70.8544E-03,+3.2271359E+00;;-0.26910;0.07085;3.22714
-269.0000E-03,+70.8544E-03,+3.2271359E+00;;-0.26900;0.07085;3.22714
-268.9000E-03,+30.6534E-03,+3.2673369E+00;;-0.26890;0.03065;3.26734
-268.8000E-03,+30.6534E-03,+3.3075379E+00;;-0.26880;0.03065;3.30754
-268.7000E-03,+30.6534E-03,+3.2673369E+00;;-0.26870;0.03065;3.26734
-268.6000E-03,+30.6534E-03,+3.2673369E+00;;-0.26860;0.03065;3.26734
-268.5000E-03,-9.5476E-03,+3.3075379E+00;;-0.26850;-0.00955;3.30754
-268.4000E-03,-9.5476E-03,+3.2673369E+00;;-0.26840;-0.00955;3.26734
-268.3000E-03,-9.5476E-03,+3.2673369E+00;;-0.26830;-0.00955;3.26734
-268.2000E-03,-9.5476E-03,+3.3075379E+00;;-0.26820;-0.00955;3.30754
-268.1000E-03,+30.6534E-03,+3.3075379E+00;;-0.26810;0.03065;3.30754
-268.0000E-03,+70.8544E-03,+3.3075379E+00;;-0.26800;0.07085;3.30754
-267.9000E-03,+70.8544E-03,+3.3075379E+00;;-0.26790;0.07085;3.30754
-267.8000E-03,+30.6534E-03,+3.3075379E+00;;-0.26780;0.03065;3.30754
-267.7000E-03,+30.6534E-03,+3.3075379E+00;;-0.26770;0.03065;3.30754
-267.6000E-03,-9.5476E-03,+3.2673369E+00;;-0.26760;-0.00955;3.26734
-267.5000E-03,+30.6534E-03,+3.2673369E+00;;-0.26750;0.03065;3.26734
-267.4000E-03,+70.8544E-03,+3.3075379E+00;;-0.26740;0.07085;3.30754
-267.3000E-03,+30.6534E-03,+1.6190957E+00;;-0.26730;0.03065;1.61910
-267.2000E-03,+30.6534E-03,-29.1455E-03;;-0.26720;0.03065;-0.02915
-267.1000E-03,+30.6534E-03,+51.2565E-03;;-0.26710;0.03065;0.05126
-267.0000E-03,+70.8544E-03,+91.4575E-03;;-0.26700;0.07085;0.09146
-266.9000E-03,+70.8544E-03,+91.4575E-03;;-0.26690;0.07085;0.09146
-266.8000E-03,+30.6534E-03,+91.4575E-03;;-0.26680;0.03065;0.09146
-266.7000E-03,+30.6534E-03,+91.4575E-03;;-0.26670;0.03065;0.09146
-266.6000E-03,+30.6534E-03,+11.0555E-03;;-0.26660;0.03065;0.01106
-266.5000E-03,+70.8544E-03,-29.1455E-03;;-0.26650;0.07085;-0.02915
-266.4000E-03,+70.8544E-03,+51.2565E-03;;-0.26640;0.07085;0.05126
-266.3000E-03,+30.6534E-03,+51.2565E-03;;-0.26630;0.03065;0.05126
-266.2000E-03,+30.6534E-03,+11.0555E-03;;-0.26620;0.03065;0.01106
-266.1000E-03,+30.6534E-03,+11.0555E-03;;-0.26610;0.03065;0.01106
-266.0000E-03,+30.6534E-03,+11.0555E-03;;-0.26600;0.03065;0.01106
-265.9000E-03,+30.6534E-03,+11.0555E-03;;-0.26590;0.03065;0.01106
-265.8000E-03,+30.6534E-03,+51.2565E-03;;-0.26580;0.03065;0.05126
-265.7000E-03,+30.6534E-03,+51.2565E-03;;-0.26570;0.03065;0.05126
-265.6000E-03,+30.6534E-03,+51.2565E-03;;-0.26560;0.03065;0.05126
-265.5000E-03,+30.6534E-03,+51.2565E-03;;-0.26550;0.03065;0.05126
-265.4000E-03,-9.5476E-03,+51.2565E-03;;-0.26540;-0.00955;0.05126
-265.3000E-03,-9.5476E-03,+51.2565E-03;;-0.26530;-0.00955;0.05126
-265.2000E-03,+30.6534E-03,+11.0555E-03;;-0.26520;0.03065;0.01106
-265.1000E-03,+70.8544E-03,+11.0555E-03;;-0.26510;0.07085;0.01106
-265.0000E-03,+70.8544E-03,+11.0555E-03;;-0.26500;0.07085;0.01106
-264.9000E-03,+30.6534E-03,+51.2565E-03;;-0.26490;0.03065;0.05126
-264.8000E-03,+70.8544E-03,+51.2565E-03;;-0.26480;0.07085;0.05126
-264.7000E-03,+70.8544E-03,+11.0555E-03;;-0.26470;0.07085;0.01106
-264.6000E-03,+30.6534E-03,+11.0555E-03;;-0.26460;0.03065;0.01106
-264.5000E-03,+30.6534E-03,+51.2565E-03;;-0.26450;0.03065;0.05126
-264.4000E-03,+70.8544E-03,+51.2565E-03;;-0.26440;0.07085;0.05126
-264.3000E-03,+111.0554E-03,+51.2565E-03;;-0.26430;0.11106;0.05126
-264.2000E-03,+70.8544E-03,+11.0555E-03;;-0.26420;0.07085;0.01106
-264.1000E-03,+30.6534E-03,-29.1455E-03;;-0.26410;0.03065;-0.02915
-264.0000E-03,+30.6534E-03,+51.2565E-03;;-0.26400;0.03065;0.05126
-263.9000E-03,+30.6534E-03,+51.2565E-03;;-0.26390;0.03065;0.05126
-263.8000E-03,+30.6534E-03,+11.0555E-03;;-0.26380;0.03065;0.01106
-263.7000E-03,+30.6534E-03,-29.1455E-03;;-0.26370;0.03065;-0.02915
-263.6000E-03,+30.6534E-03,-69.3465E-03;;-0.26360;0.03065;-0.06935
-263.5000E-03,+70.8544E-03,-69.3465E-03;;-0.26350;0.07085;-0.06935
-263.4000E-03,+111.0554E-03,-29.1455E-03;;-0.26340;0.11106;-0.02915
-263.3000E-03,+70.8544E-03,+11.0555E-03;;-0.26330;0.07085;0.01106
-263.2000E-03,+30.6534E-03,-29.1455E-03;;-0.26320;0.03065;-0.02915
-263.1000E-03,+30.6534E-03,+11.0555E-03;;-0.26310;0.03065;0.01106
-263.0000E-03,+30.6534E-03,+91.4575E-03;;-0.26300;0.03065;0.09146
-262.9000E-03,+30.6534E-03,+11.0555E-03;;-0.26290;0.03065;0.01106
-262.8000E-03,+30.6534E-03,-29.1455E-03;;-0.26280;0.03065;-0.02915
-262.7000E-03,+30.6534E-03,+11.0555E-03;;-0.26270;0.03065;0.01106
-262.6000E-03,+30.6534E-03,+11.0555E-03;;-0.26260;0.03065;0.01106
-262.5000E-03,+30.6534E-03,+11.0555E-03;;-0.26250;0.03065;0.01106
-262.4000E-03,+70.8544E-03,+11.0555E-03;;-0.26240;0.07085;0.01106
-262.3000E-03,+70.8544E-03,+51.2565E-03;;-0.26230;0.07085;0.05126
-262.2000E-03,+70.8544E-03,+51.2565E-03;;-0.26220;0.07085;0.05126
-262.1000E-03,+70.8544E-03,-29.1455E-03;;-0.26210;0.07085;-0.02915
-262.0000E-03,+30.6534E-03,+11.0555E-03;;-0.26200;0.03065;0.01106
