x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-4.276620E+00,+5.528E-03,-30.653E-03;;-4.27662;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;;;
-4.271620E+00,+9.548E-03,+9.548E-03;;-4.27162;0.00955;0.00955;;0.00000;;0;;0;0;;0;;;;
-4.266620E+00,+41.709E-03,+9.548E-03;;-4.26662;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.261620E+00,+5.528E-03,+5.528E-03;;-4.26162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.256620E+00,+41.709E-03,+5.528E-03;;-4.25662;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.251620E+00,+9.548E-03,+1.508E-03;;-4.25162;0.00955;0.00151;;0.00804;;0;;0;0;;0;;;;
-4.246620E+00,-30.653E-03,+9.548E-03;;-4.24662;-0.03065;0.00955;;-0.04020;;0;;0;0;;0;;;;
-4.241620E+00,+41.709E-03,+5.528E-03;;-4.24162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.236620E+00,+9.548E-03,-38.693E-03;;-4.23662;0.00955;-0.03869;;0.04824;;0;;0;0;;0;;;;
-4.231620E+00,+5.528E-03,+9.548E-03;;-4.23162;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;;;
-4.226620E+00,+5.528E-03,+5.528E-03;;-4.22662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.221620E+00,+5.528E-03,+5.528E-03;;-4.22162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.216620E+00,+41.709E-03,+1.508E-03;;-4.21662;0.04171;0.00151;;0.04020;;0;;0;0;;0;;;;
-4.211620E+00,+41.709E-03,+1.508E-03;;-4.21162;0.04171;0.00151;;0.04020;;0;;0;0;;0;;;;
-4.206620E+00,+45.729E-03,+41.709E-03;;-4.20662;0.04573;0.04171;;0.00402;;0;;0;0;;0;;;;
-4.201620E+00,+5.528E-03,+41.709E-03;;-4.20162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.196620E+00,+45.729E-03,+37.689E-03;;-4.19662;0.04573;0.03769;;0.00804;;0;;0;0;;0;;;;
-4.191620E+00,+5.528E-03,+9.548E-03;;-4.19162;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;;;
-4.186620E+00,+5.528E-03,-30.653E-03;;-4.18662;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;;;
-4.181620E+00,+5.528E-03,+1.508E-03;;-4.18162;0.00553;0.00151;;0.00402;;0;;0;0;;0;;;;
-4.176620E+00,+5.528E-03,+5.528E-03;;-4.17662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.171620E+00,+9.548E-03,-30.653E-03;;-4.17162;0.00955;-0.03065;;0.04020;;0;;0;0;;0;;;;
-4.166620E+00,+9.548E-03,+5.528E-03;;-4.16662;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.161620E+00,+41.709E-03,+5.528E-03;;-4.16162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.156620E+00,+9.548E-03,+5.528E-03;;-4.15662;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.151620E+00,+81.910E-03,-30.653E-03;;-4.15162;0.08191;-0.03065;;0.11256;;0;;0;0;;0;;;;
-4.146620E+00,+41.709E-03,-30.653E-03;;-4.14662;0.04171;-0.03065;;0.07236;;0;;0;0;;0;;;;
-4.141620E+00,+45.729E-03,+1.508E-03;;-4.14162;0.04573;0.00151;;0.04422;;0;;0;0;;0;;;;
-4.136620E+00,+41.709E-03,+45.729E-03;;-4.13662;0.04171;0.04573;;-0.00402;;0;;0;0;;0;;;;
-4.131620E+00,+9.548E-03,+5.528E-03;;-4.13162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
