x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;
second,Volt,Volt;;second;Volt;Volt;;;;;;;;;
-501.78000E-03,+3.30201014E+00,+3.25175889E+00;;-0.50178;3.30201;3.25176;;0.0503;;0;;0;;;
-501.74000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50174;3.27186;3.29196;;-0.0201;;0;;0;;;
-501.70000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50170;3.29196;3.30201;;-0.0101;;0;;0;;;
-501.66000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50166;3.30201;3.27186;;0.0302;;0;;0;;;
-501.62000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50162;3.30201;3.29196;;0.0101;;0;;0;;;
-501.58000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50158;3.27186;3.30201;;-0.0302;;0;;0;;;
-501.54000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50154;3.29196;3.30201;;-0.0101;;0;;0;;;
-501.50000E-03,+3.27185939E+00,+3.27185939E+00;;-0.50150;3.27186;3.27186;;0.0000;;0;;0;;;
-501.46000E-03,+3.29195989E+00,+3.29195989E+00;;-0.50146;3.29196;3.29196;;0.0000;;0;;0;;;
-501.42000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50142;3.30201;3.27186;;0.0302;;0;;0;;;
-501.38000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50138;3.30201;3.26181;;0.0402;;0;;0;;;
-501.34000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50134;3.27186;3.29196;;-0.0201;;0;;0;;;
-501.30000E-03,+3.26180914E+00,+3.30201014E+00;;-0.50130;3.26181;3.30201;;-0.0402;;0;;0;;;
-501.26000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50126;3.29196;3.27186;;0.0201;;0;;0;;;
-501.22000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50122;3.30201;3.26181;;0.0402;;0;;0;;;
-501.18000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50118;3.30201;3.26181;;0.0402;;0;;0;;;
-501.14000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50114;3.27186;3.29196;;-0.0201;;0;;0;;;
-501.10000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50110;3.29196;3.27186;;0.0201;;0;;0;;;
-501.06000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50106;3.30201;3.26181;;0.0402;;0;;0;;;
-501.02000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50102;3.30201;3.26181;;0.0402;;0;;0;;;
-500.98000E-03,+3.27185939E+00,+3.26180914E+00;;-0.50098;3.27186;3.26181;;0.0101;;0;;0;;;
-500.94000E-03,+3.26180914E+00,+3.29195989E+00;;-0.50094;3.26181;3.29196;;-0.0302;;0;;0;;;
-500.90000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50090;3.29196;3.30201;;-0.0101;;0;;0;;;
-500.86000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50086;3.30201;3.30201;;0.0000;;0;;0;;;
-500.82000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50082;3.27186;3.30201;;-0.0302;;0;;0;;;
