x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-1.9795000E+00,+5.5278E-03,+40.7036E-03;;-1.97950;0.00553;0.04070;;-0.03518;;0;;0;1;;0;;;;
-1.9794000E+00,+5.5278E-03,+10.5529E-03;;-1.97940;0.00553;0.01055;;-0.00503;;0;;0;0;;0;;;;
-1.9793000E+00,+5.5278E-03,+40.7036E-03;;-1.97930;0.00553;0.04070;;-0.03518;;0;;0;0;;0;;;;
-1.9792000E+00,+5.5278E-03,+10.5529E-03;;-1.97920;0.00553;0.01055;;-0.00503;;0;;0;0;;0;;;;
-1.9791000E+00,+5.5278E-03,+40.7036E-03;;-1.97910;0.00553;0.04070;;-0.03518;;0;;0;0;;0;;;;
-1.9790000E+00,+40.7036E-03,+10.5529E-03;;-1.97900;0.04070;0.01055;;0.03015;;1;;1;0;;11;;;;
-1.9789000E+00,+45.7288E-03,+5.5278E-03;;-1.97890;0.04573;0.00553;;0.04020;;1;;0;0;;11;;;;
-1.9788000E+00,+10.5529E-03,-64.8240E-03;;-1.97880;0.01055;-0.06482;;0.07538;;1;;0;0;;11;;;;
-1.9787000E+00,+5.5278E-03,-39.6984E-03;;-1.97870;0.00553;-0.03970;;0.04523;;1;;0;0;;11;;;;
-1.9786000E+00,+5.5278E-03,+502.6E-06;;-1.97860;0.00553;0.00050;;0.00503;;1;;0;0;;11;;;;
-1.9785000E+00,+5.5278E-03,+5.5278E-03;;-1.97850;0.00553;0.00553;;0.00000;;0;;0;1;;0;;;;
-1.9784000E+00,+40.7036E-03,+5.5278E-03;;-1.97840;0.04070;0.00553;;0.03518;;1;;1;0;;12;;;;
-1.9783000E+00,+10.5529E-03,+40.7036E-03;;-1.97830;0.01055;0.04070;;-0.03015;;0;;0;1;;0;;;;
-1.9782000E+00,+40.7036E-03,+45.7288E-03;;-1.97820;0.04070;0.04573;;-0.00503;;0;;0;0;;0;;;;
-1.9781000E+00,+10.5529E-03,+10.5529E-03;;-1.97810;0.01055;0.01055;;0.00000;;0;;0;0;;0;;;;
-1.9780000E+00,+5.5278E-03,+5.5278E-03;;-1.97800;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-1.9779000E+00,+40.7036E-03,+5.5278E-03;;-1.97790;0.04070;0.00553;;0.03518;;1;;1;0;;13;;;;
-1.9778000E+00,+45.7288E-03,+5.5278E-03;;-1.97780;0.04573;0.00553;;0.04020;;1;;0;0;;13;;;;
-1.9777000E+00,+10.5529E-03,+5.5278E-03;;-1.97770;0.01055;0.00553;;0.00503;;1;;0;0;;13;;;;
-1.9776000E+00,+5.5278E-03,+5.5278E-03;;-1.97760;0.00553;0.00553;;0.00000;;0;;0;1;;0;;;;
-1.9775000E+00,+5.5278E-03,+5.5278E-03;;-1.97750;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-1.9774000E+00,+5.5278E-03,+5.5278E-03;;-1.97740;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-1.9773000E+00,+40.7036E-03,+5.5278E-03;;-1.97730;0.04070;0.00553;;0.03518;;1;;1;0;;14;;;;
-1.9772000E+00,+10.5529E-03,+5.5278E-03;;-1.97720;0.01055;0.00553;;0.00503;;1;;0;0;;14;;;;
-1.9771000E+00,+5.5278E-03,+5.5278E-03;;-1.97710;0.00553;0.00553;;0.00000;;0;;0;1;;0;;;;
